model,feature,low_mean,low_std,high_mean,high_std,mean_diff,t_statistic,p_value,cohens_d,significant
Gemini 2.5 Flash,first_person_plural,0.07142857142857142,0.35138211074996695,0.22817460317460317,0.4426649110579981,-0.15674603174603174,-5.992268297501308,2.9674253364954466e-09,-0.3922197013477674,True
Gemini 2.5 Flash,first_person_plural_per_100words,0.1726535674586949,0.8658962806677559,0.5586531407541023,1.1559623318066916,-0.38599957329540746,-5.788980042188359,9.735776245549647e-09,-0.37795669148045197,True
Gemini 2.5 Flash,step_count,0.5738095238095238,0.8348251952211095,0.2976190476190476,0.7310531960878115,0.27619047619047615,5.290046927617958,1.561142135317797e-07,0.35198899099449343,True
Gemini 2.5 Flash,meta_count_per_100words,2.20214484995491,2.2147910254730565,1.4584376370548229,2.0845135014636744,0.7437072129000872,5.213933200923439,2.310760269359283e-07,0.34580756169284077,True
Gemini 2.5 Flash,hedging_count,0.07380952380952381,0.2614606624418579,0.021825396825396824,0.14611313725606873,0.05198412698412699,3.6254466891902424,0.0003117751514635234,0.245450298683533,True
Gemini 2.5 Flash,unique_word_ratio,0.760910523213992,0.11474088559813736,0.7336872503066594,0.11747408238893049,0.02722327290733262,3.548474827872229,0.0004075240065270452,0.23444989479363218,True
Gemini 2.5 Flash,hedging_count_per_100words,0.15774934782805097,0.5788260032123301,0.047558585514718775,0.342790624745919,0.11019076231333219,3.4280526170460157,0.0006461183955566637,0.23164840905030132,True
Gemini 2.5 Flash,math_term_count_per_100words,0.9674584263973484,1.974419429985301,1.4661099563026077,2.484852035403323,-0.4986515299052593,-3.39452693671999,0.0007168535691218119,-0.2221961757138355,True
Gemini 2.5 Flash,avg_sentence_length,17.531706349206345,6.437667499111236,18.828902116402116,6.608215751413279,-1.2971957671957703,-3.0100121745388217,0.0026852662007258703,-0.19884969222996426,True
Gemini 2.5 Flash,math_term_count,0.40714285714285714,0.7918913036109778,0.5615079365079365,0.9259200207672619,-0.15436507936507937,-2.7283594226289134,0.006486175882940658,-0.17917841913710156,True
Gemini 2.5 Flash,sentence_count,2.5476190476190474,0.9024406312719533,2.388888888888889,1.0271877328161447,0.1587301587301586,2.4968819477147672,0.012703059435063578,0.164176169521087,True
Gemini 2.5 Flash,restatement_count_per_100words,0.13939491061384596,0.6879146155278926,0.07466991245768755,0.40869144581284833,0.06472499815615841,1.6930704446946685,0.09091793923434195,0.11439590591876263,False
Gemini 2.5 Flash,restatement_count,0.05476190476190476,0.2569995191327546,0.03373015873015873,0.1805337506456813,0.021031746031746033,1.41019219780518,0.15890809848100948,0.0947024423954316,False
Gemini 2.5 Flash,avg_word_length,4.5880818901954905,0.5672749608744625,4.64248911003112,0.6326260601333451,-0.05440721983562913,-1.3758870153384593,0.16919254985208335,-0.09055197706921414,False
Gemini 2.5 Flash,word_count,42.21666666666667,14.935518813292768,41.51984126984127,16.17867752086094,0.6968253968253961,0.679139014671684,0.4972220349600278,0.04475576715614132,False
Gemini 2.5 Flash,verification_count,0.6547619047619048,0.5454148185216813,0.6765873015873016,0.6670887505486743,-0.02182539682539686,-0.5465449393568639,0.5848236862303358,-0.03582064360378193,False
Gemini 2.5 Flash,verification_count_per_100words,1.617555548233278,1.4568535360531834,1.5684935837877332,1.6317810736686094,0.04906196444554478,0.4820408461712091,0.6298918850157204,0.03171852503647645,False
Gemini 2.5 Flash,has_bullets,0.830952380952381,0.3747939721259536,0.8214285714285714,0.3829930462415574,0.009523809523809601,0.3803839088913766,0.7037503530648963,0.025134376490950173,False
Gemini 2.5 Flash,char_count,196.40952380952382,81.25418028667175,194.875,84.85044177986403,1.5345238095238187,0.2798360284668839,0.7796673002294829,0.01847226482469732,False
Gemini 2.5 Flash,exclamation_count,0.0,0.0,0.0,0.0,0.0,,,0.0,False
Gemini 2.5 Flash,question_count,0.0,0.0,0.0,0.0,0.0,,,0.0,False
Gemini 2.5 Flash,exclamation_count_per_100words,0.0,0.0,0.0,0.0,0.0,,,0.0,False
Gemini 2.5 Flash,question_count_per_100words,0.0,0.0,0.0,0.0,0.0,,,0.0,False
